,[Vertices],lat,long
271,PortedeSaintCloud,48.83796121,2.25712223
272,PortedeSaintOuen,48.8973748,2.328942813
273,PortedeVanves,48.82779554,2.30553467
274,PortedeVersailles,48.8324491,2.288022141
275,PortedeVincennes,48.84715848,2.410140368
276,PortedelaChapelle,48.89724529,2.359507869
277,PortedelaVillette,48.89738989,2.385508388
278,PortedesLilas,48.87717482,2.406480157
279,PortedesLilas,48.87717482,2.406480157
280,PreSaintGervais,48.87999579,2.398946662
281,Pyramides,48.86590674,2.334189542
282,Pyramides,48.86590674,2.334189542
283,Pyrenees,48.87388185,2.385316215
284,PereLachaise,48.86312321,2.385882449
285,PereLachaise,48.86312321,2.385882449
286,Pereire,48.88489626,2.297724346
287,QuaidelaGare,48.83704512,2.372825722
288,QuaidelaRapee,48.8465154,2.365873469
289,QuatreSeptembre,48.86958524,2.336218848
290,Rambuteau,48.86120499,2.35349574
291,Ranelagh,48.85548505,2.270109139
292,Raspail,48.83896428,2.330754192
293,Raspail,48.83896428,2.330754192
294,Rennes,48.84845785,2.327782127
295,ReuillyDiderot,48.84712872,2.387025242
296,ReuillyDiderot,48.84712872,2.387025242
297,RichardLenoir,48.85987362,2.37191398
298,RichelieuDrouot,48.8717866,2.339030547
299,RichelieuDrouot,48.8717866,2.339030547
300,Riquet,48.88826762,2.374204012
301,Robespierre,48.85572643,2.422983216
302,Rome,48.8822269,2.321274927
303,RueMontmartreGrandsBoulevards,48.87149774,2.343154773
304,RueMontmartreGrandsBoulevards,48.87149774,2.343154773
305,RueSaintMaur,48.86408657,2.380797986
306,RuedelaPompe,48.86397445,2.278112558
307,RuedesBoulets,48.85231543,2.389378128
308,RueduBac,48.85555094,2.325712422
309,ReaumurSebastopol,48.8663403,2.352068318
310,ReaumurSebastopol,48.8663403,2.352068318
311,Republique,48.86750342,2.363826144
312,Republique,48.86750342,2.363826144
313,Republique,48.86750342,2.363826144
314,Republique,48.86750342,2.363826144
315,Republique,48.86750342,2.363826144
316,SaintAmbroise,48.86101926,2.374733431
317,SaintAugustin,48.87455838,2.321361928
318,SaintDenisPortedeParis,48.92993589,2.356035794
319,SaintDenisUniversite,48.94584566,2.364541763
320,SaintFargeau,48.87210144,2.404514942
321,SaintFrancoisXavier,48.85144171,2.314408121
322,SaintGeorges,48.87842526,2.337595083
323,SaintGermaindesPres,48.85371893,2.333776137
324,SaintJacques,48.83290082,2.337135191
325,SaintLazare,48.87576459,2.324256033
326,SaintLazare,48.87576459,2.324256033
327,SaintLazare,48.87576459,2.324256033
328,SaintMandeTourelle,48.84635699,2.4194799
329,SaintMarcel,48.8384273,2.360967168
330,SaintMichel,48.85316798,2.343285979
331,SaintPaulLeMarais,48.85523625,2.360956489
332,SaintPhilippeduRoule,48.87242238,2.310038345
333,SaintPlacide,48.84687824,2.326792785
334,SaintSulpice,48.85167225,2.331256291
335,SaintSebastienFroissart,48.86116887,2.367210866
336,Sentier,48.86730947,2.347516213
337,Simplon,48.89394139,2.347765502
338,Solferino,48.85851113,2.323154856
339,Stalingrad,48.88438515,2.369391984
340,Stalingrad,48.88438515,2.369391984
341,Stalingrad,48.88438515,2.369391984
342,StrasbourgSaintDenis,48.86949077,2.354391768
343,StrasbourgSaintDenis,48.86949077,2.354391768
344,StrasbourgSaintDenis,48.86949077,2.354391768
345,SullyMorland,48.85123768,2.361985141
346,SevresBabylone,48.85119235,2.326488474
347,SevresBabylone,48.85119235,2.326488474
348,SevresLecourbe,48.84562697,2.30953149
349,Segur,48.84706613,2.307402241
350,Temple,48.86668268,2.361541532
351,Ternes,48.8779727,2.298310375
352,Tolbiac,48.82642601,2.357245651
353,TrinitedEstiennedOrves,48.87631796,2.332543027
354,Trocadero,48.86361094,2.287580163
355,Trocadero,48.86361094,2.287580163
356,Tuileries,48.86434378,2.330129877
357,Telegraphe,48.87547446,2.398867594
358,Vaneau,48.84881637,2.321257863
359,Varenne,48.85687138,2.315056637
360,Vaugirard,48.83951659,2.301107515
361,Vavin,48.84221841,2.329008926
362,VictorHugo,48.86979856,2.285335095
363,VillejuifLouisAragon,48.78756279,2.367804107
364,VillejuifLeoLagrange,48.80468812,2.363953197
365,VillejuifP.VaillantCouturier,48.79648308,2.368269541
366,Villiers,48.88115003,2.315176626
367,Villiers,48.88115003,2.315176626
368,Volontaires,48.84150552,2.307948679
369,Voltaire,48.85745372,2.380718786
370,Wagram,48.8838092,2.304674441
371,ecoleMilitaire,48.85468216,2.306097404
372,ecoleVeterinairedeMaisonsAlfort,48.81480301,2.422376143
373,eglisedAuteuil,48.84715006,2.269135873
374,eglisedePantin,48.89325759,2.41331314
375,etienneMarcel,48.86380744,2.348880653
